0;0;0;0;land;false;unknown;0
1;147;233;107;land;false;plains;1
2;244;182;154;land;false;hills;1
3;253;196;219;land;false;desert;1
4;255;176;193;land;true;desert;1
5;232;231;255;land;false;plains;1
6;147;247;113;land;false;desert;1
7;48;228;118;land;false;desert;1
8;249;160;183;land;false;hills;1
9;229;169;253;land;false;forest;1
10;254;233;208;land;false;forest;1
11;253;185;202;land;true;forest;1
12;180;252;123;land;false;desert;1
13;248;21;116;land;false;hills;1
14;137;240;227;land;false;desert;1
15;99;228;192;land;false;plains;1
16;228;252;191;land;false;hills;1
17;134;208;249;land;false;plains;1
18;240;254;255;land;false;plains;1
19;191;204;250;land;false;plains;1
20;36;127;244;land;true;forest;1
21;116;107;227;land;false;forest;1
22;178;68;244;land;false;plains;1
23;251;247;190;land;false;hills;1
24;225;223;255;land;false;hills;1
25;255;246;240;land;true;forest;1
26;17;164;241;land;false;forest;1
27;125;181;237;land;false;plains;1
28;58;216;114;land;false;plains;1
29;94;221;133;land;false;forest;1
30;255;200;236;land;false;plains;1
31;252;158;71;land;true;marsh;1
32;44;239;41;land;false;desert;1
33;151;226;253;land;false;forest;1
34;245;198;160;land;false;mountain;1
35;240;255;252;land;false;hills;1
36;229;220;254;land;false;plains;1
37;249;170;238;land;false;forest;1
38;252;231;255;land;false;plains;1
39;252;179;157;land;false;desert;1
40;144;246;133;land;false;hills;1
41;213;81;193;land;false;plains;1
42;225;226;254;land;true;forest;1
43;59;214;203;land;false;plains;1
44;80;243;126;land;false;desert;1
45;246;83;242;land;false;hills;1
46;197;58;208;land;false;plains;1
47;76;180;241;land;false;forest;1
48;135;63;210;land;false;forest;1
49;240;101;37;land;false;plains;1
50;136;245;244;land;false;hills;1
51;57;144;219;land;false;plains;1
52;254;159;194;land;false;plains;1
53;249;249;118;land;false;desert;1
54;247;133;183;land;true;forest;1
55;240;140;166;land;false;forest;1
56;144;123;246;land;false;forest;1
57;245;186;129;land;false;plains;1
58;246;77;207;land;false;forest;1
59;240;233;255;land;false;forest;1
60;106;225;237;land;false;marsh;1
61;15;169;248;land;false;forest;1
62;122;250;124;land;false;hills;1
63;51;117;243;land;false;plains;1
64;228;230;254;land;false;plains;1
65;96;251;255;land;false;desert;1
66;247;156;221;land;false;hills;1
67;254;222;210;land;false;plains;1
68;255;238;225;land;false;forest;1
69;112;225;228;land;false;hills;1
70;223;102;65;land;true;plains;1
71;247;168;232;land;true;forest;1
72;245;253;179;land;false;forest;1
73;250;186;141;land;false;forest;1
74;234;87;35;land;false;plains;1
75;206;233;81;land;false;plains;1
76;225;61;202;land;false;forest;1
77;254;212;202;land;false;hills;1
78;208;255;241;land;false;plains;1
79;110;221;238;land;false;plains;1
80;171;50;228;land;false;forest;1
81;251;186;135;land;false;plains;1
82;235;140;121;land;false;mountain;1
83;248;146;125;land;false;mountain;1
84;251;199;195;land;false;plains;1
85;112;153;231;land;true;plains;1
86;50;43;234;land;true;forest;1
87;89;47;212;land;false;forest;1
88;199;248;162;land;false;plains;1
89;252;203;253;land;false;plains;1
90;251;149;153;land;false;plains;1
91;254;238;223;land;false;forest;1
92;252;208;253;land;false;forest;1
93;151;174;241;land;false;hills;1
94;243;255;202;land;false;forest;1
95;147;240;241;land;false;plains;1
96;219;239;254;land;false;plains;1
97;252;115;229;land;false;plains;1
98;239;226;255;land;false;forest;1
99;110;27;238;land;false;forest;1
100;62;26;238;land;false;plains;1
101;217;254;244;land;false;plains;1
102;249;149;41;land;false;hills;1
103;116;156;246;land;false;plains;1
104;254;243;219;land;true;marsh;1
105;186;140;255;land;false;desert;1
