1;3731.00;10.15;849.00;big
1;2263.00;15.25;1054.00;big
2;2013.00;10.57;456.00;big
2;2084.00;10.30;435.00;big
3;1996.00;10.90;539.00;big
3;2072.00;10.23;504.00;big
4;1935.00;9.50;487.00;big
4;2009.00;10.35;379.00;big
5;1964.00;9.50;665.00;big
5;1929.00;9.50;592.00;big
6;1807.00;9.50;701.00;big
6;1902.00;9.50;739.00;big
7;1714.00;9.50;583.00;big
7;1835.00;9.50;530.00;big
8;1618.00;9.50;797.00;big
8;1556.00;9.50;744.00;big
9;1608.00;9.50;671.00;big
9;1589.00;9.50;585.00;big
10;1715.00;12.30;787.00;big
10;1682.00;11.35;699.00;big
11;2403.13;12.60;656.80;big
11;2171.00;12.10;587.00;big
12;1945.00;10.55;698.00;big
12;1969.00;12.53;797.00;big
13;2021.00;11.10;703.00;big
13;2058.00;11.90;774.00;big
14;1796.00;12.65;841.00;big
14;1893.00;11.90;878.00;big
15;2184.00;10.40;192.00;big
15;2112.00;9.50;277.00;big
16;2278.00;9.50;189.00;big
16;2364.00;9.50;307.00;big
17;2253.00;14.45;497.00;big
17;2186.00;13.00;513.00;big
18;2168.00;11.30;436.00;big
18;2157.00;11.00;368.00;big
19;2278.00;12.80;375.00;big
19;2241.00;11.95;281.00;big
23;1907.00;14.30;1019.00;big
23;1856.00;13.90;969.00;big
70;2474.00;10.88;1369.00;big
70;2598.00;10.60;1367.00;big
72;2365.00;10.30;1462.00;big
72;2410.00;10.60;1439.00;big
73;2944.00;10.30;1193.00;big
73;2944.00;10.80;1145.00;big
74;2996.00;9.50;1192.00;big
74;2964.00;9.50;1055.00;big
82;3132.00;10.20;1302.00;big
82;3316.00;11.03;1387.00;big
